Número da contratação,Código Classe/Grupo,Valor Total,Status da contratação,Situação da Execução,Título da contratação,Categoria da contratação,UASG Atual,Data estimada para o início do processo de contratação,Data estimada para a conclusão do processo de contratação,Prazo estimado de duração do processo de contratação (dias),Área requisitante,Nº DFD,Prioridade,Nº do Item no DFD,Data da conclusão da Contratação no DFD,Classificação da Contratação,Nome Classe/Grupo,Código PDM material,Nome do PDM material,Código material/serviço,Descrição material/serviço,Unidade Fornecimento,Valor Unitário,Quantidade,IdxValor,ID,ID Futura Contratação,Valor PCA
34/2025,7690,74000,Aprovada,,Aquisição Testes Psico-pedagógicos,BENS,102122,45607,45695,88,CLINICA DE FONOAUDIOLOGIA,30/2024,Médio,1,45689,Material,IMPRESSOS DIVERSOS,,,,,,74000,1,1,69,102122-34/2025,74000
35/2025,7730,15000,Aprovada,,Aquisição Televisores,BENS,102122,45881,45971,90,BIBLIOTECA,58/2024,Baixo,1,46022,Material,"FONÓGRAFOS, RÁDIOS E TELEVISORES DE TIPO DOMÉSTICO",,,,,,15000,1,1,87,102122-35/2025,15000
36/2025,8920,2000,Aprovada,,Aquisição de gêneros alimentícios,BENS,102122,45631,45691,60,ATAC - ACADEMICA,35/2024,Médio,2,45698,Material,PRODUTOS DE PANIFICAÇÃO E CEREAIS,,,,,,2000,1,1,67,102122-36/2025,2000
36/2025,8960,10000,Aprovada,,Aquisição de gêneros alimentícios,BENS,102122,45631,45691,60,ATAC - ACADEMICA,35/2024,Médio,1,45698,Material,BEBIDAS NÃO ALCOÓLICAS,,,,,,10000,1,1,67,102122-36/2025,10000
37/2025,9330,10000,Aprovada,,Aquisição de itens de laboratório,BENS,102122,45707,45797,90,BAB - CIENCIAS BIOLÓGICAS,32/2024,Médio,2,45809,Material,ARTIGOS DE PLÁSTICO,,,,,,10000,1,1,66,102122-37/2025,10000
38/2025,182,10000,Aprovada,,Licença de software Jaos,CONTRATACOES_TIC,102122,45572,45663,91,BIBLIOTECA,55/2024,Médio,1,45797,Serviço,SERVIÇOS DE  LICENCIAMENTO E  CONTRATOS DE TRANSFERÊNCIA DE TECNOLOGIA,,,,,,10000,1,1,65,102122-38/2025,10000
39/2025,661,225000,Aprovada,,Serviço emissão passagens aéreas,SERVICOS,102122,45552,45672,120,ATF - FINANCEIRO,6/2024,Alto,1,45672,Serviço,SERVIÇOS DE TRANSPORTE AÉREO DE PASSAGEIROS,,,,,,225000,1,1,86,102122-39/2025,225000
4/2025,4120,230000,Aprovada,,Aquisição ar condicionado,BENS,102122,45805,45925,120,ATF - FINANCEIRO,65/2024,Médio,1,45960,Material,EQUIPAMENTO DE AR CONDICIONADO,,,,,,230000,1,1,8,102122-4/2025,230000
41/2025,853,50000,Aprovada,,Serviço de lavanderia hospitalar,SERVICOS,102122,45567,45667,100,ATA - ADMINISTRACAO,70/2024,Médio,1,45687,Serviço,SERVIÇOS DE LIMPEZA,,,,,,50000,1,1,84,102122-41/2025,50000
42/2025,545,60000,Aprovada,,Reforma piso anfiteatro Odontoped,SERVICOS,102122,45841,45992,151,BAO - ODONTOP. ORTO. S COLETIVA,52/2024,Médio,2,45868,Serviço,TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO,,,,,,60000,1,1,83,102122-42/2025,60000
43/2025,545,100000,Aprovada,,Serviços comuns de engenharia,SERVICOS,102122,45765,45946,181,OBRAS,51/2024,Médio,1,45899,Serviço,TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO,,,,,,100000,1,1,82,102122-43/2025,100000
44/2025,545,100000,Aprovada,,Serviços infiltração águas pluviais,SERVICOS,102122,45629,45805,176,OBRAS,49/2024,Médio,1,45808,Serviço,TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO,,,,,,100000,1,1,81,102122-44/2025,100000
45/2025,732,55000,Aprovada,,Locação embarcação Rondônia,SERVICOS,102122,45719,45839,120,PROJETO RONDONIA,48/2024,Médio,1,45839,Serviço,SERVIÇOS DE LEASING OU ALUGUEL RELACIONADOS A OUTROS BENS,,,,,,55000,1,1,80,102122-45/2025,55000
46/2025,542,1850000,Aprovada,,Serviço pintura campus,OBRAS_SERV_ESP_ENGENHARIA,102122,45644,45793,149,OBRAS,71/2024,Médio,1,45746,Serviço,SERVIÇOS GERAIS DE CONSTRUÇÃO PARA OBRAS DE ENGENHARIA CIVIL,,,,,,1850000,1,1,89,102122-46/2025,1850000
47/2025,833,250000,Aprovada,,Expansão Casa da Afasia,SERVICOS,102122,45810,45960,150,OBRAS,5/2024,Baixo,1,45868,Serviço,SERVIÇOS DE ENGENHARIA,,,,,,250000,1,1,90,102122-47/2025,250000
48/2025,833,900000,Aprovada,,Reforma rede de lógica Clínica de Fono,CONTRATACOES_TIC,102122,45873,46021,148,OBRAS,4/2024,Médio,1,45960,Serviço,SERVIÇOS DE ENGENHARIA,,,,,,900000,1,1,92,102122-48/2025,900000
49/2025,833,1260000,Aprovada,,Reforma CIP I,OBRAS_SERV_ESP_ENGENHARIA,102122,45664,45775,111,OBRAS,3/2024,Médio,1,45991,Serviço,SERVIÇOS DE ENGENHARIA,,,,,,1260000,1,1,91,102122-49/2025,1260000
5/2025,5965,1300,Aprovada,,Itens e acessórios de informática,BENS,102122,45700,45820,120,CLINICA DE FONOAUDIOLOGIA,31/2024,Médio,3,45809,Material,"FONES, MICROFONES E ALTO-FALANTES",,,,,,1300,1,1,4,102122-5/2025,1300
5/2025,6130,12000,Aprovada,,Itens e acessórios de informática,BENS,102122,45700,45820,120,STI,41/2024,Médio,2,45828,Material,CONVERSORES ELÉTRICOS ESTÁTICOS,,,,,,12000,1,1,4,102122-5/2025,12000
5/2025,7030,20000,Aprovada,,Itens e acessórios de informática,BENS,102122,45700,45820,120,STI,41/2024,Médio,4,45828,Material,EQUIPAMENTOS DE ARMAZENAMENTO DE DADOS,,,,,,20000,1,1,4,102122-5/2025,20000
5/2025,7060,80000,Aprovada,,Itens e acessórios de informática,BENS,102122,45700,45820,120,STI,41/2024,Médio,3,45828,Material,PEÇAS E ACESSÓRIOS PARA COMPUTADORES,,,,,,80000,1,1,4,102122-5/2025,80000
50/2025,839,30000,Aprovada,,Serviço revisão inglês artigos JAOS,SERVICOS,102122,45630,45744,114,BIBLIOTECA,54/2024,Médio,1,45797,Serviço,"OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS",,,,,,30000,1,1,95,102122-50/2025,30000
51/2025,859,15000,Aprovada,,Serviço de descupinização,SERVICOS,102122,45880,45960,80,BAO - ODONTOP. ORTO. S COLETIVA,52/2024,Médio,1,45868,Serviço,OUTROS SERVIÇOS DE SUPORTE,,,,,,15000,1,1,94,102122-51/2025,15000
52/2025,871,32000,Aprovada,,Serviço de manutenção preventiva e corretiva de autoclaves	,SERVICOS,102122,45742,45862,120,ATF - FINANCEIRO,47/2024,Médio,1,45667,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,,,,32000,1,1,93,102122-52/2025,32000
53/2025,871,65000,Aprovada,,Serviço de manutenção em grupo geradores do campus,SERVICOS,102122,45831,45931,100,ATF - FINANCEIRO,46/2024,Médio,1,45677,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,,,,65000,1,1,102,102122-53/2025,65000
54/2025,871,200000,Aprovada,,Serviço de manutenção preventiva e corretiva de aparelhos de ar condicionado	,SERVICOS,102122,45483,45663,180,ATF - FINANCEIRO,45/2024,Médio,1,45667,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,,,,200000,1,1,101,102122-54/2025,200000
55/2025,871,220000,Aprovada,,Serviço de manutenção preventiva e corretiva em equipamentos de laboratório,SERVICOS,102122,45664,45751,87,BAB - CIENCIAS BIOLÓGICAS,42/2024,Médio,1,45777,Serviço,"SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS",,,,,,220000,1,1,100,102122-55/2025,220000
56/2025,873,70000,Aprovada,,Serviço instalação de condicionadores de ar para toda FOB.	,SERVICOS,102122,45833,45953,120,ATF - FINANCEIRO,65/2024,Médio,1,45960,Serviço,SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO),,,,,,70000,1,1,99,102122-56/2025,70000
57/2025,872,15000,Aprovada,,Calibração de equipamentos Fono,SERVICOS,102122,45636,45726,90,CLINICA DE FONOAUDIOLOGIA,43/2024,Médio,1,45748,Serviço,SERVIÇOS DE REPARO DE OUTROS BENS,,,,,,15000,1,1,98,102122-57/2025,15000
58/2025,891,20000,Aprovada,,Serviço de impressão de material gráfico,SERVICOS,102122,45708,45828,120,ATF - FINANCEIRO,34/2024,Médio,1,45828,Serviço,"SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO",,,,,,20000,1,1,97,102122-58/2025,20000
